age,Occupation,Marital_Status,Education_Level,default,Balance,Housing_Loan,Personal_Loan,contact,day,Month,duration,campaign,pdays,previous,Prev_Outcome,Subscribed,conversion_status,age_segment,duration_min
35,Management,Divorced,Tertiary,No,3837,Yes,No,Not Specified,8,May,1084,1,-1,0,Not Specified,yes,1,26-40,18.07
32,Blue-Collar,Single,Primary,No,611,Yes,No,Not Specified,8,May,541,3,-1,0,Not Specified,yes,1,26-40,9.02
49,Services,Married,Secondary,No,-8,Yes,No,Not Specified,8,May,1119,1,-1,0,Not Specified,yes,1,41-60,18.65
41,Admin ,Married,Secondary,No,55,Yes,No,Not Specified,8,May,1120,2,-1,0,Not Specified,yes,1,41-60,18.67
49,Admin ,Divorced,Secondary,No,168,Yes,Yes,Not Specified,8,May,513,1,-1,0,Not Specified,yes,1,41-60,8.55
28,Admin ,Divorced,Secondary,No,785,Yes,No,Not Specified,8,May,442,2,-1,0,Not Specified,yes,1,26-40,7.37
43,Management,Single,Tertiary,No,2067,Yes,No,Not Specified,8,May,756,1,-1,0,Not Specified,yes,1,41-60,12.6
43,Management,Divorced,Tertiary,No,388,Yes,No,Not Specified,8,May,2087,2,-1,0,Not Specified,yes,1,41-60,34.78
43,Blue-Collar,Married,Primary,No,-192,Yes,No,Not Specified,8,May,1120,2,-1,0,Not Specified,yes,1,41-60,18.67
37,Unemployed,Single,Secondary,No,381,Yes,No,Not Specified,8,May,985,2,-1,0,Not Specified,yes,1,26-40,16.42
35,Blue-Collar,Single,Secondary,No,40,Yes,No,Not Specified,9,May,617,4,-1,0,Not Specified,yes,1,26-40,10.28
31,Technician,Single,Tertiary,No,22,Yes,No,Not Specified,9,May,483,3,-1,0,Not Specified,yes,1,26-40,8.05
43,Blue-Collar,Single,Secondary,No,3,Yes,No,Not Specified,9,May,929,3,-1,0,Not Specified,yes,1,41-60,15.48
31,Admin ,Married,Secondary,No,307,Yes,No,Not Specified,9,May,538,1,-1,0,Not Specified,yes,1,26-40,8.97
28,Blue-Collar,Single,Secondary,No,759,Yes,No,Not Specified,9,May,710,1,-1,0,Not Specified,yes,1,26-40,11.83
32,Blue-Collar,Married,Secondary,Yes,-1,Yes,No,Not Specified,9,May,653,1,-1,0,Not Specified,yes,1,26-40,10.88
60,Technician,Married,Primary,No,65,Yes,No,Not Specified,9,May,1028,2,-1,0,Not Specified,yes,1,41-60,17.13
26,Blue-Collar,Single,Secondary,No,82,Yes,No,Not Specified,9,May,654,1,-1,0,Not Specified,yes,1,26-40,10.9
40,Blue-Collar,Married,Secondary,No,10,Yes,No,Not Specified,9,May,1692,2,-1,0,Not Specified,yes,1,26-40,28.2
33,Blue-Collar,Divorced,Primary,No,390,Yes,No,Not Specified,9,May,665,2,-1,0,Not Specified,yes,1,26-40,11.08
32,Management,Single,Tertiary,No,311,No,No,Not Specified,12,May,757,2,-1,0,Not Specified,yes,1,26-40,12.62
35,Blue-Collar,Married,Primary,No,414,No,No,Not Specified,13,May,504,4,-1,0,Not Specified,yes,1,26-40,8.4
33,Management,Divorced,Secondary,No,5,Yes,No,Not Specified,13,May,1346,1,-1,0,Not Specified,yes,1,26-40,22.43
38,Management,Married,Tertiary,No,119,Yes,No,Not Specified,13,May,568,4,-1,0,Not Specified,yes,1,26-40,9.47
23,Entrepreneur,Single,Primary,No,4,Yes,No,Not Specified,13,May,395,2,-1,0,Not Specified,yes,1,18-25,6.58
60,Blue-Collar,Married,Primary,No,1262,Yes,Yes,Not Specified,13,May,1015,1,-1,0,Not Specified,yes,1,41-60,16.92
48,Management,Married,Tertiary,No,1949,Yes,No,Not Specified,13,May,683,2,-1,0,Not Specified,yes,1,41-60,11.38
45,Entrepreneur,Divorced,Tertiary,No,-395,Yes,No,Not Specified,13,May,470,1,-1,0,Not Specified,yes,1,41-60,7.83
36,Blue-Collar,Married,Secondary,No,1165,Yes,No,Not Specified,13,May,1001,4,-1,0,Not Specified,yes,1,26-40,16.68
52,Management,Married,Not Specified,No,2240,Yes,No,Not Specified,13,May,845,1,-1,0,Not Specified,yes,1,41-60,14.08
35,Blue-Collar,Divorced,Primary,No,300,Yes,No,Not Specified,13,May,945,2,-1,0,Not Specified,yes,1,26-40,15.75
43,Technician,Married,Secondary,No,3285,Yes,No,Not Specified,13,May,1721,2,-1,0,Not Specified,yes,1,41-60,28.68
52,Housemaid,Married,Secondary,No,3923,Yes,No,Not Specified,14,May,942,3,-1,0,Not Specified,yes,1,41-60,15.7
53,Technician,Divorced,Primary,No,1443,Yes,No,Not Specified,14,May,476,1,-1,0,Not Specified,yes,1,41-60,7.93
48,Blue-Collar,Divorced,Primary,No,24,Yes,No,Not Specified,14,May,832,1,-1,0,Not Specified,yes,1,41-60,13.87
41,Blue-Collar,Single,Primary,No,1618,Yes,No,Not Specified,14,May,1553,1,-1,0,Not Specified,yes,1,41-60,25.88
39,Management,Divorced,Tertiary,No,517,Yes,Yes,Not Specified,14,May,1328,1,-1,0,Not Specified,yes,1,26-40,22.13
59,Retired,Married,Secondary,No,1521,Yes,Yes,Not Specified,14,May,1125,2,-1,0,Not Specified,yes,1,41-60,18.75
41,Blue-Collar,Married,Secondary,No,2823,Yes,No,Not Specified,14,May,858,1,-1,0,Not Specified,yes,1,41-60,14.3
48,Blue-Collar,Married,Secondary,No,1405,Yes,No,Not Specified,14,May,629,2,-1,0,Not Specified,yes,1,41-60,10.48
40,Admin ,Married,Secondary,No,1535,Yes,No,Not Specified,14,May,704,1,-1,0,Not Specified,yes,1,26-40,11.73
48,Blue-Collar,Married,Secondary,No,1596,Yes,No,Not Specified,14,May,760,1,-1,0,Not Specified,yes,1,41-60,12.67
60,Retired,Married,Primary,No,1542,Yes,No,Not Specified,14,May,930,1,-1,0,Not Specified,yes,1,41-60,15.5
40,Technician,Single,Not Specified,No,3652,Yes,No,Not Specified,14,May,1028,2,-1,0,Not Specified,yes,1,26-40,17.13
57,Technician,Married,Tertiary,No,-1,No,No,Not Specified,14,May,850,2,-1,0,Not Specified,yes,1,41-60,14.17
51,Blue-Collar,Married,Secondary,No,7180,Yes,No,Not Specified,14,May,927,1,-1,0,Not Specified,yes,1,41-60,15.45
41,Blue-Collar,Divorced,Secondary,No,5291,Yes,No,Not Specified,14,May,1423,3,-1,0,Not Specified,yes,1,41-60,23.72
41,Blue-Collar,Married,Secondary,No,1384,Yes,No,Not Specified,15,May,1162,4,-1,0,Not Specified,yes,1,41-60,19.37
52,Blue-Collar,Divorced,Primary,No,-191,Yes,No,Not Specified,15,May,755,1,-1,0,Not Specified,yes,1,41-60,12.58
59,Blue-Collar,Married,Primary,No,320,Yes,No,Not Specified,15,May,695,1,-1,0,Not Specified,yes,1,41-60,11.58
44,Blue-Collar,Married,Not Specified,No,146,Yes,No,Not Specified,15,May,483,1,-1,0,Not Specified,yes,1,41-60,8.05
49,Not Specified,Married,Primary,No,341,Yes,Yes,Not Specified,15,May,520,2,-1,0,Not Specified,yes,1,41-60,8.67
40,Services,Married,Primary,No,-9,Yes,No,Not Specified,15,May,920,2,-1,0,Not Specified,yes,1,26-40,15.33
41,Admin ,Married,Primary,No,-306,Yes,No,Not Specified,15,May,500,1,-1,0,Not Specified,yes,1,41-60,8.33
44,Technician,Married,Tertiary,No,4580,Yes,No,Not Specified,15,May,911,2,-1,0,Not Specified,yes,1,41-60,15.18
60,Services,Single,Primary,No,313,Yes,No,Not Specified,15,May,920,2,-1,0,Not Specified,yes,1,41-60,15.33
29,Management,Married,Tertiary,No,10576,No,No,Not Specified,15,May,1224,2,-1,0,Not Specified,yes,1,26-40,20.4
41,Retired,Divorced,Primary,No,-233,Yes,No,Not Specified,15,May,1156,2,-1,0,Not Specified,yes,1,41-60,19.27
41,Blue-Collar,Married,Primary,No,2453,Yes,No,Not Specified,15,May,1052,1,-1,0,Not Specified,yes,1,41-60,17.53
42,Technician,Single,Secondary,No,1364,Yes,No,Not Specified,15,May,1867,6,-1,0,Not Specified,yes,1,41-60,31.12
36,Services,Single,Not Specified,No,281,Yes,No,Not Specified,16,May,515,1,-1,0,Not Specified,yes,1,26-40,8.58
39,Technician,Married,Tertiary,No,94,Yes,Yes,Not Specified,16,May,813,1,-1,0,Not Specified,yes,1,26-40,13.55
31,Self-Employed,Single,Tertiary,No,144,Yes,No,Not Specified,16,May,676,1,-1,0,Not Specified,yes,1,26-40,11.27
26,Blue-Collar,Married,Secondary,No,246,Yes,No,Not Specified,16,May,1143,3,-1,0,Not Specified,yes,1,26-40,19.05
31,Blue-Collar,Married,Secondary,No,92,Yes,No,Not Specified,16,May,688,1,-1,0,Not Specified,yes,1,26-40,11.47
29,Admin ,Single,Secondary,No,163,Yes,Yes,Not Specified,16,May,803,1,-1,0,Not Specified,yes,1,26-40,13.38
37,Services,Divorced,Secondary,No,49,Yes,No,Not Specified,16,May,619,2,-1,0,Not Specified,yes,1,26-40,10.32
33,Blue-Collar,Single,Secondary,No,-416,Yes,No,Not Specified,16,May,767,2,-1,0,Not Specified,yes,1,26-40,12.78
24,Technician,Single,Secondary,No,409,Yes,No,Not Specified,16,May,912,1,-1,0,Not Specified,yes,1,18-25,15.2
50,Admin ,Divorced,Secondary,No,363,Yes,No,Not Specified,16,May,1340,1,-1,0,Not Specified,yes,1,41-60,22.33
27,Technician,Single,Tertiary,No,3706,Yes,No,Not Specified,16,May,897,1,-1,0,Not Specified,yes,1,26-40,14.95
54,Management,Single,Tertiary,No,4393,Yes,No,Not Specified,16,May,1297,3,-1,0,Not Specified,yes,1,41-60,21.62
30,Technician,Single,Secondary,No,863,Yes,No,Not Specified,16,May,1193,5,-1,0,Not Specified,yes,1,26-40,19.88
34,Blue-Collar,Married,Primary,No,695,Yes,Yes,Not Specified,16,May,1064,4,-1,0,Not Specified,yes,1,26-40,17.73
37,Management,Single,Secondary,No,792,Yes,No,Not Specified,16,May,1187,4,-1,0,Not Specified,yes,1,26-40,19.78
41,Admin ,Single,Secondary,No,1020,Yes,No,Not Specified,19,May,882,1,-1,0,Not Specified,yes,1,41-60,14.7
47,Blue-Collar,Married,Secondary,No,863,Yes,No,Not Specified,19,May,943,2,-1,0,Not Specified,yes,1,41-60,15.72
31,Admin ,Married,Secondary,No,97,Yes,No,Not Specified,19,May,607,1,-1,0,Not Specified,yes,1,26-40,10.12
31,Blue-Collar,Married,Secondary,No,754,Yes,No,Not Specified,19,May,1022,4,-1,0,Not Specified,yes,1,26-40,17.03
43,Services,Divorced,Secondary,No,1040,Yes,No,Not Specified,19,May,552,3,-1,0,Not Specified,yes,1,41-60,9.2
37,Management,Divorced,Tertiary,No,122,Yes,No,Not Specified,19,May,1622,2,-1,0,Not Specified,yes,1,26-40,27.03
30,Technician,Single,Tertiary,No,880,Yes,Yes,Not Specified,19,May,967,6,-1,0,Not Specified,yes,1,26-40,16.12
41,Technician,Married,Secondary,No,501,Yes,No,Not Specified,19,May,579,5,-1,0,Not Specified,yes,1,41-60,9.65
36,Blue-Collar,Married,Secondary,No,4438,Yes,No,Not Specified,20,May,446,1,-1,0,Not Specified,yes,1,26-40,7.43
35,Blue-Collar,Divorced,Secondary,No,0,Yes,No,Not Specified,20,May,1205,1,-1,0,Not Specified,yes,1,26-40,20.08
29,Services,Single,Secondary,No,271,Yes,No,Not Specified,20,May,1882,2,-1,0,Not Specified,yes,1,26-40,31.37
35,Blue-Collar,Married,Primary,No,102,Yes,No,Not Specified,20,May,1334,1,-1,0,Not Specified,yes,1,26-40,22.23
31,Blue-Collar,Married,Secondary,No,2,Yes,No,Not Specified,20,May,182,2,-1,0,Not Specified,yes,1,26-40,3.03
35,Services,Married,Secondary,No,4170,Yes,No,Not Specified,20,May,1777,1,-1,0,Not Specified,yes,1,26-40,29.62
34,Technician,Single,Secondary,No,85,Yes,No,Not Specified,20,May,1182,4,-1,0,Not Specified,yes,1,26-40,19.7
31,Admin ,Single,Secondary,No,431,Yes,Yes,Not Specified,20,May,1045,1,-1,0,Not Specified,yes,1,26-40,17.42
44,Technician,Divorced,Secondary,No,982,Yes,No,Not Specified,20,May,650,3,-1,0,Not Specified,yes,1,41-60,10.83
36,Blue-Collar,Married,Primary,No,408,Yes,Yes,Not Specified,20,May,1063,2,-1,0,Not Specified,yes,1,26-40,17.72
35,Blue-Collar,Married,Not Specified,No,4822,Yes,No,Not Specified,20,May,843,2,-1,0,Not Specified,yes,1,26-40,14.05
41,Blue-Collar,Married,Primary,No,1250,Yes,No,Not Specified,20,May,1392,2,-1,0,Not Specified,yes,1,41-60,23.2
31,Blue-Collar,Single,Primary,No,216,Yes,No,Not Specified,21,May,565,1,-1,0,Not Specified,yes,1,26-40,9.42
34,Blue-Collar,Married,Secondary,No,1207,Yes,No,Not Specified,21,May,905,1,-1,0,Not Specified,yes,1,26-40,15.08
32,Technician,Married,Secondary,No,791,Yes,No,Not Specified,21,May,783,2,-1,0,Not Specified,yes,1,26-40,13.05
36,Management,Married,Tertiary,No,849,Yes,Yes,Not Specified,21,May,958,2,-1,0,Not Specified,yes,1,26-40,15.97
30,Blue-Collar,Single,Secondary,Yes,239,Yes,No,Not Specified,21,May,412,1,-1,0,Not Specified,yes,1,26-40,6.87
37,Technician,Single,Secondary,No,1211,Yes,No,Not Specified,21,May,795,1,-1,0,Not Specified,yes,1,26-40,13.25
36,Blue-Collar,Married,Primary,No,599,Yes,No,Not Specified,21,May,649,2,-1,0,Not Specified,yes,1,26-40,10.82
31,Management,Single,Tertiary,No,825,Yes,No,Not Specified,21,May,506,2,-1,0,Not Specified,yes,1,26-40,8.43
27,Technician,Married,Secondary,No,2183,Yes,Yes,Not Specified,21,May,857,1,-1,0,Not Specified,yes,1,26-40,14.28
34,Retired,Married,Primary,No,4499,No,No,Not Specified,21,May,1681,1,-1,0,Not Specified,yes,1,26-40,28.02
30,Technician,Single,Tertiary,No,1289,Yes,No,Not Specified,21,May,1697,2,-1,0,Not Specified,yes,1,26-40,28.28
32,Technician,Single,Tertiary,No,4665,Yes,No,Not Specified,21,May,860,2,-1,0,Not Specified,yes,1,26-40,14.33
37,Technician,Single,Secondary,No,3326,Yes,No,Not Specified,21,May,799,1,-1,0,Not Specified,yes,1,26-40,13.32
32,Blue-Collar,Married,Secondary,No,783,Yes,No,Not Specified,21,May,923,3,-1,0,Not Specified,yes,1,26-40,15.38
33,Blue-Collar,Married,Secondary,No,0,Yes,No,Not Specified,21,May,521,3,-1,0,Not Specified,yes,1,26-40,8.68
35,Blue-Collar,Married,Primary,No,994,Yes,No,Not Specified,23,May,1349,8,-1,0,Not Specified,yes,1,26-40,22.48
35,Self-Employed,Divorced,Tertiary,No,1354,Yes,No,Not Specified,23,May,736,2,-1,0,Not Specified,yes,1,26-40,12.27
30,Blue-Collar,Single,Secondary,No,239,Yes,No,Not Specified,23,May,785,1,-1,0,Not Specified,yes,1,26-40,13.08
45,Blue-Collar,Divorced,Primary,No,-311,Yes,No,Not Specified,23,May,1030,1,-1,0,Not Specified,yes,1,41-60,17.17
45,Admin ,Married,Secondary,No,149,Yes,No,Not Specified,23,May,893,3,-1,0,Not Specified,yes,1,41-60,14.88
33,Blue-Collar,Married,Secondary,No,1464,Yes,No,Not Specified,23,May,588,3,-1,0,Not Specified,yes,1,26-40,9.8
44,Management,Divorced,Tertiary,No,5773,No,No,Not Specified,23,May,597,6,-1,0,Not Specified,yes,1,41-60,9.95
40,Blue-Collar,Married,Primary,No,278,Yes,No,Not Specified,23,May,1015,3,-1,0,Not Specified,yes,1,26-40,16.92
31,Blue-Collar,Married,Secondary,No,2910,Yes,No,Not Specified,23,May,1392,2,-1,0,Not Specified,yes,1,26-40,23.2
30,Technician,Married,Tertiary,No,541,Yes,No,Not Specified,26,May,414,2,-1,0,Not Specified,yes,1,26-40,6.9
44,Technician,Divorced,Secondary,No,1262,Yes,No,Not Specified,26,May,788,11,-1,0,Not Specified,yes,1,41-60,13.13
34,Services,Married,Secondary,No,-538,Yes,No,Not Specified,26,May,682,1,-1,0,Not Specified,yes,1,26-40,11.37
37,Blue-Collar,Married,Secondary,No,125,No,No,Not Specified,26,May,679,2,-1,0,Not Specified,yes,1,26-40,11.32
28,Self-Employed,Single,Tertiary,No,0,Yes,No,Not Specified,26,May,1560,2,-1,0,Not Specified,yes,1,26-40,26.0
32,Admin ,Single,Secondary,No,620,Yes,No,Not Specified,26,May,1234,3,-1,0,Not Specified,yes,1,26-40,20.57
37,Blue-Collar,Divorced,Secondary,No,316,Yes,No,Not Specified,26,May,642,2,-1,0,Not Specified,yes,1,26-40,10.7
34,Management,Married,Tertiary,No,2287,Yes,No,Not Specified,26,May,895,4,-1,0,Not Specified,yes,1,26-40,14.92
38,Admin ,Divorced,Secondary,No,198,Yes,No,Not Specified,26,May,431,2,-1,0,Not Specified,yes,1,26-40,7.18
28,Admin ,Single,Secondary,No,460,Yes,No,Not Specified,26,May,741,6,-1,0,Not Specified,yes,1,26-40,12.35
31,Management,Divorced,Tertiary,No,1145,Yes,No,Not Specified,26,May,1272,4,-1,0,Not Specified,yes,1,26-40,21.2
59,Services,Married,Secondary,No,-22,Yes,No,Not Specified,26,May,748,3,-1,0,Not Specified,yes,1,41-60,12.47
24,Blue-Collar,Married,Secondary,No,685,Yes,No,Not Specified,26,May,896,3,-1,0,Not Specified,yes,1,18-25,14.93
26,Services,Single,Secondary,No,901,Yes,No,Not Specified,26,May,764,2,-1,0,Not Specified,yes,1,26-40,12.73
59,Retired,Single,Secondary,No,351,Yes,No,Not Specified,27,May,1063,5,-1,0,Not Specified,yes,1,41-60,17.72
30,Entrepreneur,Single,Primary,No,0,Yes,Yes,Not Specified,27,May,1051,1,-1,0,Not Specified,yes,1,26-40,17.52
37,Admin ,Married,Secondary,No,274,Yes,No,Not Specified,27,May,731,3,-1,0,Not Specified,yes,1,26-40,12.18
30,Admin ,Single,Secondary,No,-213,Yes,Yes,Not Specified,27,May,751,1,-1,0,Not Specified,yes,1,26-40,12.52
25,Blue-Collar,Married,Secondary,No,97,Yes,No,Not Specified,27,May,709,1,-1,0,Not Specified,yes,1,18-25,11.82
44,Services,Divorced,Secondary,No,51,Yes,Yes,Not Specified,27,May,3094,2,-1,0,Not Specified,yes,1,41-60,51.57
29,Management,Married,Tertiary,No,314,No,No,Not Specified,28,May,938,2,-1,0,Not Specified,yes,1,26-40,15.63
26,Management,Single,Tertiary,No,6840,Yes,No,Not Specified,28,May,1560,2,-1,0,Not Specified,yes,1,26-40,26.0
26,Technician,Single,Secondary,No,668,Yes,No,Not Specified,28,May,576,3,-1,0,Not Specified,yes,1,26-40,9.6
27,Services,Single,Secondary,No,54,Yes,No,Not Specified,28,May,543,2,-1,0,Not Specified,yes,1,26-40,9.05
25,Self-Employed,Single,Secondary,No,1242,Yes,No,Not Specified,28,May,615,2,-1,0,Not Specified,yes,1,18-25,10.25
28,Management,Married,Secondary,No,292,Yes,No,Not Specified,28,May,507,1,-1,0,Not Specified,yes,1,26-40,8.45
23,Services,Single,Secondary,No,665,Yes,No,Not Specified,28,May,1183,1,-1,0,Not Specified,yes,1,18-25,19.72
34,Management,Single,Tertiary,No,1058,Yes,No,Not Specified,28,May,864,2,-1,0,Not Specified,yes,1,26-40,14.4
28,Student,Single,Secondary,No,949,Yes,No,Not Specified,28,May,1730,1,-1,0,Not Specified,yes,1,26-40,28.83
51,Entrepreneur,Married,Not Specified,No,606,Yes,No,Not Specified,28,May,560,9,-1,0,Not Specified,yes,1,41-60,9.33
35,Blue-Collar,Married,Secondary,No,0,Yes,Yes,Not Specified,29,May,543,1,-1,0,Not Specified,yes,1,26-40,9.05
35,Admin ,Married,Secondary,No,404,Yes,No,Not Specified,29,May,539,1,-1,0,Not Specified,yes,1,26-40,8.98
56,Blue-Collar,Married,Secondary,No,249,Yes,No,Not Specified,29,May,791,2,-1,0,Not Specified,yes,1,41-60,13.18
45,Unemployed,Divorced,Secondary,No,3354,Yes,No,Not Specified,29,May,746,1,-1,0,Not Specified,yes,1,41-60,12.43
60,Blue-Collar,Divorced,Secondary,No,0,Yes,No,Not Specified,29,May,1207,1,-1,0,Not Specified,yes,1,41-60,20.12
56,Technician,Married,Secondary,No,589,Yes,No,Not Specified,29,May,535,2,-1,0,Not Specified,yes,1,41-60,8.92
27,Management,Single,Tertiary,No,12956,Yes,No,Not Specified,29,May,789,3,-1,0,Not Specified,yes,1,26-40,13.15
30,Admin ,Married,Secondary,No,873,Yes,No,Not Specified,29,May,792,3,-1,0,Not Specified,yes,1,26-40,13.2
45,Blue-Collar,Divorced,Primary,No,594,Yes,No,Not Specified,29,May,833,2,-1,0,Not Specified,yes,1,41-60,13.88
29,Blue-Collar,Single,Secondary,No,-20,Yes,No,Not Specified,29,May,814,2,-1,0,Not Specified,yes,1,26-40,13.57
38,Management,Divorced,Tertiary,No,4692,Yes,No,Not Specified,29,May,1363,2,-1,0,Not Specified,yes,1,26-40,22.72
30,Blue-Collar,Married,Secondary,No,486,Yes,No,Not Specified,29,May,1109,3,-1,0,Not Specified,yes,1,26-40,18.48
44,Blue-Collar,Single,Primary,No,1593,Yes,No,Not Specified,29,May,828,3,-1,0,Not Specified,yes,1,41-60,13.8
36,Management,Single,Tertiary,No,7606,Yes,No,Not Specified,30,May,917,1,-1,0,Not Specified,yes,1,26-40,15.28
38,Technician,Married,Secondary,No,226,Yes,No,Not Specified,30,May,762,3,-1,0,Not Specified,yes,1,26-40,12.7
36,Blue-Collar,Single,Secondary,No,366,Yes,Yes,Not Specified,30,May,1133,2,-1,0,Not Specified,yes,1,26-40,18.88
37,Management,Divorced,Secondary,No,16,Yes,No,Not Specified,30,May,638,1,-1,0,Not Specified,yes,1,26-40,10.63
35,Management,Single,Tertiary,No,565,Yes,No,Not Specified,30,May,763,1,-1,0,Not Specified,yes,1,26-40,12.72
38,Admin ,Divorced,Secondary,No,19,Yes,No,Not Specified,30,May,604,2,-1,0,Not Specified,yes,1,26-40,10.07
40,Services,Married,Primary,No,1082,Yes,No,Not Specified,30,May,854,2,-1,0,Not Specified,yes,1,26-40,14.23
42,Unemployed,Divorced,Secondary,No,1713,Yes,No,Not Specified,30,May,855,2,-1,0,Not Specified,yes,1,41-60,14.25
46,Management,Divorced,Tertiary,No,14481,Yes,No,Not Specified,30,May,1269,1,-1,0,Not Specified,yes,1,41-60,21.15
35,Technician,Divorced,Secondary,No,5724,Yes,No,Not Specified,30,May,691,10,-1,0,Not Specified,yes,1,26-40,11.52
34,Technician,Divorced,Secondary,No,1451,Yes,No,Not Specified,30,May,1097,15,-1,0,Not Specified,yes,1,26-40,18.28
32,Services,Married,Secondary,No,-34,Yes,No,Not Specified,30,May,1236,2,-1,0,Not Specified,yes,1,26-40,20.6
50,Unemployed,Married,Secondary,No,3674,Yes,No,Not Specified,30,May,886,3,-1,0,Not Specified,yes,1,41-60,14.77
35,Blue-Collar,Married,Secondary,No,698,Yes,Yes,Not Specified,30,May,1343,3,-1,0,Not Specified,yes,1,26-40,22.38
36,Technician,Single,Secondary,No,4136,Yes,No,Not Specified,30,May,812,3,-1,0,Not Specified,yes,1,26-40,13.53
53,Blue-Collar,Divorced,Primary,No,2656,Yes,No,Not Specified,30,May,1980,2,-1,0,Not Specified,yes,1,41-60,33.0
46,Management,Single,Tertiary,No,2904,Yes,No,Not Specified,30,May,984,2,-1,0,Not Specified,yes,1,41-60,16.4
26,Management,Single,Tertiary,No,1004,Yes,No,Not Specified,30,May,228,2,-1,0,Not Specified,yes,1,26-40,3.8
45,Technician,Single,Secondary,No,410,Yes,No,Not Specified,30,May,891,4,-1,0,Not Specified,yes,1,41-60,14.85
31,Unemployed,Divorced,Primary,No,0,Yes,No,Not Specified,30,May,745,12,-1,0,Not Specified,yes,1,26-40,12.42
29,Management,Single,Tertiary,No,0,Yes,No,Not Specified,30,May,539,12,-1,0,Not Specified,yes,1,26-40,8.98
53,Entrepreneur,Single,Secondary,No,62,Yes,No,Not Specified,30,May,1044,5,-1,0,Not Specified,yes,1,41-60,17.4
27,Blue-Collar,Married,Primary,No,416,Yes,No,Not Specified,30,May,1193,2,-1,0,Not Specified,yes,1,26-40,19.88
39,Management,Married,Tertiary,No,2763,Yes,No,Not Specified,2,Jun,526,2,-1,0,Not Specified,yes,1,26-40,8.77
36,Services,Married,Secondary,No,2984,Yes,No,Not Specified,2,Jun,394,1,-1,0,Not Specified,yes,1,26-40,6.57
41,Blue-Collar,Married,Primary,No,143,Yes,Yes,Not Specified,2,Jun,659,2,-1,0,Not Specified,yes,1,41-60,10.98
36,Services,Married,Primary,No,0,Yes,No,Not Specified,2,Jun,1036,1,-1,0,Not Specified,yes,1,26-40,17.27
32,Technician,Married,Secondary,No,696,Yes,No,Not Specified,2,Jun,815,1,-1,0,Not Specified,yes,1,26-40,13.58
35,Services,Married,Secondary,No,152,Yes,No,Not Specified,2,Jun,563,1,-1,0,Not Specified,yes,1,26-40,9.38
36,Management,Single,Tertiary,No,-78,Yes,No,Not Specified,2,Jun,1068,1,-1,0,Not Specified,yes,1,26-40,17.8
35,Management,Married,Tertiary,No,867,Yes,No,Not Specified,2,Jun,230,3,-1,0,Not Specified,yes,1,26-40,3.83
30,Blue-Collar,Single,Secondary,No,953,Yes,No,Not Specified,2,Jun,747,2,-1,0,Not Specified,yes,1,26-40,12.45
42,Blue-Collar,Married,Secondary,No,443,Yes,No,Not Specified,2,Jun,671,5,-1,0,Not Specified,yes,1,41-60,11.18
42,Technician,Single,Secondary,Yes,-1129,Yes,No,Not Specified,2,Jun,555,5,-1,0,Not Specified,yes,1,41-60,9.25
32,Blue-Collar,Married,Primary,No,415,Yes,No,Not Specified,2,Jun,777,4,-1,0,Not Specified,yes,1,26-40,12.95
